claim,reference,label
"Quantum mechanics shows that human thoughts directly shape physical reality, so belief alone can cure diseases.",Quantum mechanics explains subatomic phenomena; there is no scientific evidence that belief alone can cure diseases.,refuted
"Because AI neural networks are modeled after the brain, modern AI systems are conscious beings.",AI neural networks are loosely inspired by biology but do not possess consciousness or subjective experience.,refuted
Medicines that list side effects are more dangerous than the illnesses they treat.,Side effects are disclosed for transparency; approved medicines are prescribed when benefits outweigh risks.,refuted
"Since climate change occurred naturally in the past, current climate change cannot be caused by humans.",Scientific evidence shows current climate change is significantly driven by human activities despite past natural changes.,refuted
"If a treatment has been used for centuries, it must be safe and effective without clinical trials.",Historical use does not guarantee safety or effectiveness; clinical trials are necessary.,refuted
Large datasets automatically turn correlation into causation.,Correlation does not imply causation regardless of dataset size.,refuted
Editing space images for clarity proves space agencies fabricate their data.,Image processing improves visibility and does not indicate fabrication.,refuted
Inflation is driven only by consumer psychology and not by economic policy.,"Inflation is influenced by monetary policy, supply-demand dynamics, and expectations.",refuted
Differences in moral beliefs mean there is no objective truth at all.,Moral disagreement does not eliminate the existence of objective facts.,refuted
"Because some historical records are inaccurate, all history should be treated as fiction.",Historical records are evaluated using multiple sources and verification methods.,refuted
